model,resampler,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,n_inner,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
RF,none,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5786167614365961,absolute,49,5,0.3443708609271523,0.52,0.25742574257425743,0.5444066794739175,0.4852590494964414,0.9290714263916016,0.14820551872253418,4986701
RF,none,2,"['S08', 'S13', 'f05']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5696794469458214,absolute,49,5,0.625,0.5855855855855856,0.6701030927835051,0.7411053406712658,0.642596128495071,1.1649575233459473,0.18176817893981934,6460474
RF,none,3,"['S09', 'S18', 'f15']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.565846503629637,absolute,49,5,0.5701754385964912,0.47101449275362317,0.7222222222222222,0.6265055131467346,0.5899563157216217,0.8055994510650635,0.12484240531921387,4188777
RF,none,4,"['S15', 'S17', 'f04']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 3}",0.5741598693722869,absolute,49,5,0.43137254901960786,0.6111111111111112,0.3333333333333333,0.6452020202020202,0.619320211924648,0.8783769607543945,0.11798262596130371,3684137
RF,none,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 3}",0.54177854487111,absolute,49,5,0.5823754789272031,0.5757575757575758,0.5891472868217055,0.534468438538206,0.6132015480123502,0.8614871501922607,0.1260993480682373,3563497
RF,none,6,"['S01', 'S05', 'f01']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5175397442508406,absolute,49,5,0.7449392712550608,0.7076923076923077,0.7863247863247863,0.7165409753645048,0.783734296405182,0.7600088119506836,0.11975860595703125,4283817
RF,none,7,"['S03', 'f09', 'f10']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.5298082433887007,absolute,49,5,0.5803571428571429,0.5508474576271186,0.6132075471698113,0.6196438017986247,0.6251144274723442,0.8593254089355469,0.12166976928710938,4261097
RF,none,8,"['S04', 'f08', 'f16']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 2}",0.5314806952323236,absolute,49,5,0.6666666666666666,0.717391304347826,0.6226415094339622,0.7078318152244633,0.6919013170081278,0.9736442565917969,0.13091254234313965,4095817
RF,none,9,"['S16', 'f02', 'f11']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.5615919725470949,absolute,49,5,0.49327354260089684,0.44,0.5612244897959183,0.45640451302472207,0.4099759582040635,0.8636765480041504,0.1165778636932373,4105577
RF,none,10,"['S06', 'f06', 'f18']","{'n_estimators': 200, 'max_features': 0.8, 'min_samples_leaf': 3}",0.561633331729091,absolute,49,5,0.5543478260869565,0.6538461538461539,0.4811320754716981,0.6506180871828237,0.653184773756772,1.1188313961029053,0.1466517448425293,4845101
RF,RandomUnder,1,"['S07', 'S10', 'f12']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5882271607574265,absolute,49,5,0.35,0.4745762711864407,0.27722772277227725,0.5621397960691592,0.48815972822805553,0.7677469253540039,0.21117138862609863,3568031
RF,RandomUnder,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5898614659846382,absolute,49,5,0.6132075471698113,0.5652173913043478,0.6701030927835051,0.7294008216417331,0.6302428950103665,1.0462570190429688,0.1508641242980957,4947308
RF,RandomUnder,3,"['S09', 'S18', 'f15']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5813241436322294,absolute,49,5,0.5826086956521739,0.4785714285714286,0.7444444444444445,0.6401187446988973,0.571944940135259,0.7282497882843018,0.11258745193481445,3681647
RF,RandomUnder,4,"['S15', 'S17', 'f04']","{'n_estimators': 250, 'max_features': 0.7, 'min_samples_leaf': 3}",0.6038870656688687,absolute,49,5,0.5060240963855421,0.6268656716417911,0.42424242424242425,0.6452020202020202,0.6262936786349467,1.2211148738861084,0.18537259101867676,5957360
RF,RandomUnder,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 2}",0.563113945986296,absolute,49,5,0.6029411764705882,0.5734265734265734,0.6356589147286822,0.5392787929125138,0.5966817056258112,0.812507152557373,0.11993956565856934,3802783
RF,RandomUnder,6,"['S01', 'S05', 'f01']","{'n_estimators': 250, 'max_features': 0.7, 'min_samples_leaf': 2}",0.5523394969700182,absolute,49,5,0.7550200803212851,0.7121212121212122,0.8034188034188035,0.7196581196581197,0.7667393984231956,1.3134312629699707,0.16773462295532227,6596752
RF,RandomUnder,7,"['S03', 'f09', 'f10']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 2}",0.5585265472697949,absolute,49,5,0.6124401913875598,0.6213592233009708,0.6037735849056604,0.6550432022570976,0.6127105310979271,0.922386884689331,0.12567925453186035,3979631
RF,RandomUnder,8,"['S04', 'f08', 'f16']","{'n_estimators': 250, 'max_features': 0.8, 'min_samples_leaf': 3}",0.5521562989722234,absolute,49,5,0.6666666666666666,0.6938775510204082,0.6415094339622641,0.7036841249186727,0.6892111252810946,1.3291895389556885,0.19249534606933594,5854528
RF,RandomUnder,9,"['S16', 'f02', 'f11']","{'n_estimators': 250, 'max_features': 0.7, 'min_samples_leaf': 1}",0.576182920436666,absolute,49,5,0.49361702127659574,0.4233576642335766,0.5918367346938775,0.47751783640285383,0.43091193926471244,1.2637574672698975,0.19956493377685547,7269732
RF,RandomUnder,10,"['S06', 'f06', 'f18']","{'n_estimators': 250, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5772502296304083,absolute,49,5,0.54,0.574468085106383,0.5094339622641509,0.6219908913467795,0.6151300201998222,1.1888153553009033,0.17387008666992188,5872448
XGB,none,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 1.0}",0.5698789836347137,absolute,49,5,0.39263803680981596,0.5161290322580645,0.31683168316831684,0.5912516624796808,0.5344590786878486,1.016983985900879,0.0131072998046875,706359
XGB,none,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 8, 'subsample': 1.0}",0.5764450559876535,absolute,49,5,0.6732673267326733,0.6476190476190476,0.7010309278350515,0.7748236570808464,0.6823449140648294,0.9276683330535889,0.011014223098754883,720985
XGB,none,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 8, 'subsample': 0.9}",0.571877876942407,absolute,49,5,0.592274678111588,0.4825174825174825,0.7666666666666667,0.6594571670907547,0.5731820734027363,1.0440938472747803,0.01607656478881836,720463
XGB,none,4,"['S15', 'S17', 'f04']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.5817524517587201,absolute,49,5,0.4025974025974026,0.5636363636363636,0.31313131313131315,0.5791569541569542,0.5592989162282747,1.151869773864746,0.011005640029907227,866075
XGB,none,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.5339503119825209,absolute,49,5,0.5735849056603773,0.5588235294117647,0.5891472868217055,0.5437430786267996,0.6013679923104842,1.0245048999786377,0.012041091918945312,748825
XGB,none,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 1.0}",0.5230098371349696,absolute,49,5,0.7531380753138075,0.7377049180327869,0.7692307692307693,0.7341377576671695,0.7918549915254176,1.0473482608795166,0.01253056526184082,772954
XGB,none,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 0.9}",0.549940185210264,absolute,49,5,0.6545454545454545,0.631578947368421,0.6792452830188679,0.6920296244048669,0.6832499075068783,0.9952614307403564,0.013012409210205078,696934
