model,resampler,select_k,fold,test_subjects,best_params,inner_best_f1,strategy,n_features,n_inner,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
RF,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5786167614365961,absolute,49,5,0.3443708609271523,0.52,0.25742574257425743,0.5444066794739175,0.4852590494964414,0.8469343185424805,0.14264726638793945,4986701
RF,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5696794469458214,absolute,49,5,0.625,0.5855855855855856,0.6701030927835051,0.7411053406712658,0.642596128495071,1.120652198791504,0.17284011840820312,6460474
RF,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.565846503629637,absolute,49,5,0.5701754385964912,0.47101449275362317,0.7222222222222222,0.6265055131467345,0.5897008859043775,0.8180859088897705,0.1168968677520752,4188777
RF,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 3}",0.5741598693722869,absolute,49,5,0.43137254901960786,0.6111111111111112,0.3333333333333333,0.6452020202020202,0.619320211924648,0.8787925243377686,0.1195535659790039,3684137
RF,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 3}",0.54177854487111,absolute,49,5,0.5823754789272031,0.5757575757575758,0.5891472868217055,0.534468438538206,0.6132015480123502,0.8365163803100586,0.12285733222961426,3563497
RF,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5166341890177762,absolute,49,5,0.7449392712550608,0.7076923076923077,0.7863247863247863,0.7165409753645049,0.7837340435284564,0.7786483764648438,0.15911006927490234,4283817
RF,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.5298082433887007,absolute,49,5,0.5803571428571429,0.5508474576271186,0.6132075471698113,0.6195997178628109,0.6251060621644984,0.7830305099487305,0.12681055068969727,4261097
RF,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 2}",0.5314806952323236,absolute,49,5,0.6666666666666666,0.717391304347826,0.6226415094339622,0.7078318152244633,0.6919013170081278,0.8154585361480713,0.12108922004699707,4095817
RF,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 2}",0.5615919725470949,absolute,49,5,0.49327354260089684,0.44,0.5612244897959183,0.45640451302472207,0.4099759582040635,0.8238489627838135,0.11424493789672852,4105577
RF,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 200, 'max_features': 0.8, 'min_samples_leaf': 3}",0.561633331729091,absolute,49,5,0.5543478260869565,0.6538461538461539,0.4811320754716981,0.6506180871828237,0.653184773756772,1.0869550704956055,0.1528313159942627,4845101
RF,none,13,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5539330078399312,absolute,13,5,0.3448275862068966,0.5681818181818182,0.24752475247524752,0.5675336190335452,0.4870634344865442,1.0457510948181152,0.1547696590423584,5868475
RF,none,13,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'max_features': 0.8, 'min_samples_leaf': 2}",0.5602252491948991,absolute,13,5,0.6105263157894737,0.6236559139784946,0.5979381443298969,0.7454460894504303,0.6690001439325937,1.0988545417785645,0.1480696201324463,6624175
RF,none,13,3,"['S09', 'S18', 'f15']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5532405514082468,absolute,13,5,0.5027932960893855,0.5056179775280899,0.5,0.6398642917726887,0.5476728714632615,1.1757116317749023,0.17788958549499512,8548474
RF,none,13,4,"['S15', 'S17', 'f04']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5825562002852093,absolute,13,5,0.3924050632911392,0.5254237288135594,0.31313131313131315,0.5124320124320125,0.5434090488779595,1.1591174602508545,0.17534399032592773,7526640
RF,none,13,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5559969745365902,absolute,13,5,0.5098039215686274,0.5158730158730159,0.5038759689922481,0.5341223698781838,0.5910735847513169,1.0313286781311035,0.13962125778198242,5807808
RF,none,13,6,"['S01', 'S05', 'f01']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 2}",0.5507355024355842,absolute,13,5,0.7272727272727273,0.7368421052631579,0.717948717948718,0.6945198592257416,0.762490570845496,0.9239072799682617,0.1170797348022461,5129273
RF,none,13,7,"['S03', 'f09', 'f10']","{'n_estimators': 250, 'max_features': 0.8, 'min_samples_leaf': 3}",0.5368813713703184,absolute,13,5,0.5754716981132075,0.5754716981132075,0.5754716981132075,0.6292540998060306,0.6666104309730412,1.2410259246826172,0.1787271499633789,7355866
RF,none,13,8,"['S04', 'f08', 'f16']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5501682233625833,absolute,13,5,0.5666666666666667,0.6891891891891891,0.4811320754716981,0.6593607677293428,0.6175298041623996,0.9607017040252686,0.11451840400695801,4993397
RF,none,13,9,"['S16', 'f02', 'f11']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5950698836985386,absolute,13,5,0.5371900826446281,0.4513888888888889,0.6632653061224489,0.525012444001991,0.46237299995510284,1.0083343982696533,0.12165689468383789,5260482
RF,none,13,10,"['S06', 'f06', 'f18']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 2}",0.557735881779678,absolute,13,5,0.5876777251184834,0.5904761904761905,0.5849056603773585,0.6633051398828888,0.666582480350787,0.955327033996582,0.11727380752563477,4846783
XGB,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 1.0}",0.5698789836347137,absolute,49,5,0.39263803680981596,0.5161290322580645,0.31683168316831684,0.5912516624796808,0.5344590786878486,0.888054609298706,0.011842966079711914,706359
XGB,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 8, 'subsample': 1.0}",0.5764450559876535,absolute,49,5,0.6732673267326733,0.6476190476190476,0.7010309278350515,0.7748236570808464,0.6823449140648294,0.8208363056182861,0.011209726333618164,720985
XGB,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 8, 'subsample': 0.9}",0.571877876942407,absolute,49,5,0.592274678111588,0.4825174825174825,0.7666666666666667,0.6594571670907547,0.5731820734027363,0.9314365386962891,0.010519742965698242,720463
XGB,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.5817524517587201,absolute,49,5,0.4025974025974026,0.5636363636363636,0.31313131313131315,0.5791569541569542,0.5592989162282747,1.0229275226593018,0.011830806732177734,866075
XGB,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.5339503119825209,absolute,49,5,0.5735849056603773,0.5588235294117647,0.5891472868217055,0.5437430786267996,0.6013679923104842,0.9353175163269043,0.011482477188110352,748825
XGB,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 1.0}",0.5230098371349696,absolute,49,5,0.7531380753138075,0.7377049180327869,0.7692307692307693,0.7341377576671695,0.7918549915254176,0.9426925182342529,0.012126684188842773,772954
XGB,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 0.9}",0.549940185210264,absolute,49,5,0.6545454545454545,0.631578947368421,0.6792452830188679,0.6920296244048669,0.6832499075068783,0.8878018856048584,0.010833024978637695,696934
XGB,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.533854875818047,absolute,49,5,0.5423728813559322,0.676056338028169,0.4528301886792453,0.6686727391021471,0.6241314603069404,0.7872295379638672,0.011086463928222656,676527
XGB,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 1.0}",0.5971766403755006,absolute,49,5,0.5092592592592593,0.4661016949152542,0.5612244897959183,0.5108677617388419,0.4582147751910944,1.115861177444458,0.01195383071899414,856417
XGB,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 8, 'subsample': 0.9}",0.5427866442087039,absolute,49,5,0.5445026178010471,0.611764705882353,0.49056603773584906,0.6367924528301886,0.6133382206465599,1.0211820602416992,0.012200593948364258,872540
XGB,none,13,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'subsample': 1.0}",0.5289302315514068,absolute,13,5,0.2638888888888889,0.4418604651162791,0.18811881188118812,0.5080537904536723,0.41970777695903116,0.9701898097991943,0.007998466491699219,922975
XGB,none,13,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.5437336515267164,absolute,13,5,0.5578947368421052,0.5698924731182796,0.5463917525773195,0.699248120300752,0.5846517566018563,0.9395356178283691,0.010317564010620117,826281
XGB,none,13,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 8, 'subsample': 1.0}",0.5539683736029483,absolute,13,5,0.5773195876288659,0.5384615384615384,0.6222222222222222,0.6789652247667516,0.6161745283166739,0.8810579776763916,0.009799718856811523,658956
XGB,none,13,4,"['S15', 'S17', 'f04']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 8, 'subsample': 0.9}",0.5691054455113138,absolute,13,5,0.40963855421686746,0.5074626865671642,0.3434343434343434,0.5235042735042735,0.5141435097638993,0.9442586898803711,0.007563352584838867,744871
XGB,none,13,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 0.9}",0.5255433805616985,absolute,13,5,0.48132780082987553,0.5178571428571429,0.4496124031007752,0.539797895902547,0.5984183215438664,0.9634790420532227,0.007744312286376953,773698
XGB,none,13,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'subsample': 1.0}",0.5343390975052175,absolute,13,5,0.6960352422907489,0.7181818181818181,0.6752136752136753,0.6861739567621921,0.7676355088623485,1.3553094863891602,0.012029170989990234,877695
XGB,none,13,7,"['S03', 'f09', 'f10']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'subsample': 0.9}",0.5545533513697914,absolute,13,5,0.5846153846153846,0.6404494382022472,0.5377358490566038,0.6747487215658615,0.7172534417045632,1.7940068244934082,0.01443624496459961,907553
XGB,none,13,8,"['S04', 'f08', 'f16']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 0.9}",0.5232907224058762,absolute,13,5,0.5524861878453039,0.6666666666666666,0.4716981132075472,0.6590761223162004,0.6116319599023846,1.0679821968078613,0.008026361465454102,774384
XGB,none,13,9,"['S16', 'f02', 'f11']","{'n_estimators': 200, 'learning_rate': 0.12, 'max_depth': 10, 'subsample': 0.9}",0.5869664062001332,absolute,13,5,0.5240174672489083,0.4580152671755725,0.6122448979591837,0.5243902439024389,0.486303621341808,1.066100835800171,0.008512258529663086,793626
XGB,none,13,10,"['S06', 'f06', 'f18']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 10, 'subsample': 0.9}",0.5565933176624387,absolute,13,5,0.6285714285714286,0.6346153846153846,0.6226415094339622,0.6523259596616786,0.6778528954559588,1.180499792098999,0.009571313858032227,1057177
LGBM,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 50}",0.5800048883118892,absolute,49,5,0.4482758620689655,0.5342465753424658,0.38613861386138615,0.6284173193438747,0.5391982326632891,0.3123610019683838,0.007516145706176758,751093
LGBM,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 300, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 50}",0.5749133123212251,absolute,49,5,0.5913978494623656,0.6179775280898876,0.5670103092783505,0.7341291372761801,0.6742601425230023,0.5522201061248779,0.008412599563598633,1387476
LGBM,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5806465461374188,absolute,49,5,0.5955555555555555,0.4962962962962963,0.7444444444444445,0.6636980491942325,0.5815220087165545,0.25681424140930176,0.006502866744995117,676733
LGBM,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 50}",0.597156844106622,absolute,49,5,0.4129032258064516,0.5714285714285714,0.32323232323232326,0.5985819735819736,0.5984988554742608,0.6511902809143066,0.00901031494140625,1489732
LGBM,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 300, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5523195211087509,absolute,49,5,0.5886792452830188,0.5735294117647058,0.6046511627906976,0.5669988925802879,0.5884898932276589,0.533571720123291,0.008086442947387695,1034104
LGBM,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 8, 'num_leaves': 31}",0.5116681918757181,absolute,49,5,0.7350427350427351,0.7350427350427351,0.7350427350427351,0.762292609351433,0.8176914026938952,0.3094210624694824,0.006514787673950195,624879
LGBM,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 200, 'learning_rate': 0.08, 'max_depth': 10, 'num_leaves': 50}",0.5284369114620138,absolute,49,5,0.6139534883720931,0.6055045871559633,0.6226415094339622,0.6777464292011992,0.7013728373560786,0.5855982303619385,0.010141372680664062,933315
LGBM,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5553799447529452,absolute,49,5,0.5851063829787234,0.6707317073170732,0.5188679245283019,0.6789199739752765,0.6636955060836844,0.5499036312103271,0.00855112075805664,958438
LGBM,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 200, 'learning_rate': 0.1, 'max_depth': 10, 'num_leaves': 31}",0.5803566827286375,absolute,49,5,0.5089285714285714,0.4523809523809524,0.5816326530612245,0.5131076820972291,0.4548537377073302,0.42179036140441895,0.008003950119018555,679765
LGBM,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 300, 'learning_rate': 0.12, 'max_depth': 8, 'num_leaves': 31}",0.5471235800083958,absolute,49,5,0.6069651741293532,0.6421052631578947,0.5754716981132075,0.6693233571893299,0.6154257528914195,0.8026144504547119,0.008509397506713867,968953
