model,resampler,select_k,fold,test_subjects,best_params,inner_best_f1,strategy,resampling,n_inner,f1,precision,recall,roc_auc,auprc,train_time_s,pred_time_s,model_size_bytes
RF,none,all,1,"['S07', 'S10', 'f12']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5470585673605861,absolute,none,10,0.3291139240506329,0.45614035087719296,0.25742574257425743,0.5410078321264963,0.476687626752329,0.7734272480010986,0.15278863906860352,3733097
RF,none,all,2,"['S08', 'S13', 'f05']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 1}",0.5247537413924468,absolute,none,10,0.5789473684210527,0.5913978494623656,0.5670103092783505,0.7449034958530346,0.64403180163647,1.1454370021820068,0.1762676239013672,6326676
RF,none,all,3,"['S09', 'S18', 'f15']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 1}",0.5340009493126587,absolute,none,10,0.5309734513274337,0.4411764705882353,0.6666666666666666,0.6047497879558948,0.5721966119926263,1.407724142074585,0.23370575904846191,7820805
RF,none,all,4,"['S15', 'S17', 'f04']","{'n_estimators': 150, 'max_features': 0.8, 'min_samples_leaf': 1}",0.537659425341092,absolute,none,10,0.4230769230769231,0.5789473684210527,0.3333333333333333,0.6619560994560995,0.6345414811163043,0.9735054969787598,0.136460542678833,4566129
RF,none,all,5,"['S11', 'S12', 'S14', 'f03']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5604632845069989,absolute,none,10,0.5433070866141733,0.552,0.5348837209302325,0.5191029900332226,0.5819153983987709,1.0313351154327393,0.1684885025024414,4796461
RF,none,all,6,"['S01', 'S05', 'f01']","{'n_estimators': 200, 'max_features': 0.7, 'min_samples_leaf': 3}",0.4970067926004681,absolute,none,10,0.7449392712550608,0.7076923076923077,0.7863247863247863,0.7271995977878332,0.7867324564343584,1.1393768787384033,0.19233465194702148,5007661
RF,none,all,7,"['S03', 'f09', 'f10']","{'n_estimators': 150, 'max_features': 0.6, 'min_samples_leaf': 3}",0.5398497537291,absolute,none,10,0.5853658536585366,0.6060606060606061,0.5660377358490566,0.6398342444013402,0.6423250580685862,0.7567651271820068,0.16759920120239258,3827337
RF,none,all,8,"['S04', 'f08', 'f16']","{'n_estimators': 150, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5280184970692439,absolute,none,10,0.6288659793814433,0.6931818181818182,0.5754716981132075,0.7027081977878985,0.691915700936441,0.8285725116729736,0.20575928688049316,3686857
RF,none,all,9,"['S16', 'f02', 'f11']","{'n_estimators': 250, 'max_features': 0.6, 'min_samples_leaf': 2}",0.5551031724709643,absolute,none,10,0.4796380090497738,0.43089430894308944,0.5408163265306123,0.47656379625020734,0.4241642668817728,1.5657851696014404,0.29279565811157227,6974234
RF,none,all,10,"['S06', 'f06', 'f18']","{'n_estimators': 250, 'max_features': 0.7, 'min_samples_leaf': 3}",0.5371748376514036,absolute,none,10,0.5957446808510638,0.6829268292682927,0.5283018867924528,0.6452504879635653,0.6249936098634309,1.7363998889923096,0.27634310722351074,6159674
