subject,n,n_stress,acc,recall_stress,auc,mean_prob
f03,98,43,0.40816326530612246,0.46511627906976744,0.4241014799154334,0.5492428153336876
f02,84,35,0.4523809523809524,0.45714285714285713,0.44839650145772597,0.5066801557755792
S17,50,28,0.48,0.42857142857142855,0.461038961038961,0.48792571203034185
S11,39,23,0.5641025641025641,0.6956521739130435,0.4619565217391305,0.6226104014570687
f18,88,34,0.6136363636363636,0.11764705882352941,0.5092592592592593,0.11757412169428534
f04,100,41,0.57,0.024390243902439025,0.5101281521289789,0.05131607411863473
f11,89,42,0.5168539325842697,0.5476190476190477,0.5298885511651469,0.48211625268258596
f12,143,42,0.6013986013986014,0.3333333333333333,0.5476190476190477,0.3254462431558713
S05,50,28,0.52,0.35714285714285715,0.5584415584415585,0.3772362051320717
f09,90,40,0.5111111111111111,0.425,0.5750000000000001,0.45514216975205474
f08,85,38,0.611764705882353,0.5263157894736842,0.5767077267637178,0.4168386514033953
f15,124,36,0.5403225806451613,0.5555555555555556,0.5934343434343434,0.47803847275963723
S04,48,33,0.6666666666666666,0.8484848484848485,0.6020202020202021,0.7961788491115874
S16,48,21,0.5625,0.8571428571428571,0.6067019400352733,0.6533147661079256
S09,45,25,0.6444444444444445,0.76,0.614,0.616318630271701
S13,52,31,0.5384615384615384,0.4838709677419355,0.6175115207373273,0.4536081444248103
f06,87,43,0.6206896551724138,0.7209302325581395,0.6580338266384779,0.5457078236176041
S07,41,27,0.4878048780487805,0.37037037037037035,0.664021164021164,0.3546405033127334
S15,53,30,0.5849056603773585,0.6333333333333333,0.6681159420289855,0.5445586811181298
S18,52,29,0.6538461538461539,0.9655172413793104,0.6776611694152924,0.7683039315415556
S06,47,29,0.7446808510638298,0.896551724137931,0.6800766283524905,0.6864361440336441
f10,73,39,0.6164383561643836,0.6923076923076923,0.6968325791855203,0.5811466299800611
f16,89,35,0.6741573033707865,0.2,0.708994708994709,0.12198002048833433
S12,50,31,0.68,0.8709677419354839,0.7198641765704584,0.7785888578081699
f05,135,39,0.6962962962962963,0.48717948717948717,0.7478632478632479,0.35943039320155357
S03,50,27,0.78,0.8148148148148148,0.789049919484702,0.5279291028887695
S01,59,30,0.711864406779661,0.9666666666666667,0.7965517241379311,0.6376793087576741
S14,54,32,0.6666666666666666,0.46875,0.828125,0.3324154416533504
S10,51,32,0.6470588235294118,0.46875,0.8289473684210527,0.3988872167215803
S08,43,27,0.7441860465116279,0.7777777777777778,0.8333333333333333,0.5680160743777175
f01,93,59,0.7741935483870968,0.7966101694915254,0.8703888334995015,0.5657823645116907
