subject,n,n_stress,acc,recall_stress,auc,mean_prob
f02,84,35,0.38095238095238093,0.45714285714285713,0.3486880466472303,0.534040060468632
f12,143,42,0.5874125874125874,0.11904761904761904,0.43305044790193303,0.36481006891321577
S11,39,23,0.5128205128205128,0.6086956521739131,0.43749999999999994,0.5380153611820279
f09,90,40,0.4444444444444444,0.175,0.45575,0.41967989417989415
S09,45,25,0.5111111111111111,0.32,0.47900000000000004,0.45210352733686066
f18,88,34,0.6136363636363636,0.058823529411764705,0.4901960784313726,0.25126858069329655
f11,89,42,0.5617977528089888,0.4523809523809524,0.4944275582573455,0.49135955056179775
f03,98,43,0.45918367346938777,0.5348837209302325,0.5099365750528542,0.48200413758577026
S07,41,27,0.4634146341463415,0.25925925925925924,0.5158730158730158,0.4016151060998622
S12,50,31,0.62,0.7096774193548387,0.5449915110356536,0.5430521833721834
S05,50,28,0.56,0.42857142857142855,0.5527597402597402,0.4134449206349206
S04,48,33,0.7291666666666666,0.9393939393939394,0.5616161616161616,0.6803072089947091
S17,50,28,0.54,0.5,0.5681818181818181,0.5114202934102933
S06,47,29,0.5319148936170213,0.5517241379310345,0.5842911877394635,0.5276449679162446
f15,124,36,0.5,0.8055555555555556,0.6085858585858586,0.5454332437275985
S15,53,30,0.5849056603773585,0.6333333333333333,0.6115942028985507,0.5064116316946505
S16,48,21,0.5416666666666666,0.9523809523809523,0.6313932980599648,0.6021183862433862
f08,85,38,0.6352941176470588,0.5,0.6455767077267637,0.40035546218487394
S14,54,32,0.6666666666666666,0.53125,0.6519886363636364,0.4323718459181422
S03,50,27,0.62,0.8888888888888888,0.6586151368760064,0.577972380952381
f04,100,41,0.58,0.0,0.6742455560148822,0.2503934126984127
f16,89,35,0.7528089887640449,0.45714285714285713,0.6883597883597883,0.2640372748350276
S01,59,30,0.6779661016949152,1.0,0.7218390804597701,0.5946454129674469
f05,135,39,0.6370370370370371,0.6666666666666666,0.735844017094017,0.4754143135054245
f10,73,39,0.6575342465753424,0.8717948717948718,0.7458521870286576,0.5697929984779299
S13,52,31,0.6153846153846154,0.5161290322580645,0.7496159754224271,0.4871991314241314
f06,87,43,0.7011494252873564,0.7674418604651163,0.7531712473572939,0.4957007948947603
S08,43,27,0.7906976744186046,0.8518518518518519,0.7569444444444444,0.5607776200543643
S10,51,32,0.6470588235294118,0.4375,0.8009868421052633,0.4384332399626517
f01,93,59,0.7634408602150538,0.847457627118644,0.8379860418743769,0.5483251408090116
S18,52,29,0.7307692307692307,0.9655172413793104,0.8470764617691154,0.6247635836385836
