subject,n,n_stress,acc,recall_stress,auc,mean_prob
f02,84,35,0.44047619047619047,0.45714285714285713,0.3673469387755102,0.4984539800013105
S17,50,28,0.46,0.42857142857142855,0.39448051948051943,0.47074876718223096
f03,98,43,0.4387755102040816,0.5581395348837209,0.44312896405919666,0.5497411436363294
f18,88,34,0.625,0.08823529411764706,0.49945533769063183,0.1262339771985187
f04,100,41,0.58,0.0,0.5026870607689128,0.0965863905404694
S11,39,23,0.48717948717948717,0.6086956521739131,0.5217391304347827,0.5729330440935416
f08,85,38,0.5647058823529412,0.3157894736842105,0.5251959686450168,0.32450538217911823
S07,41,27,0.4634146341463415,0.37037037037037035,0.5264550264550265,0.33374512615818075
f12,143,42,0.6293706293706294,0.2857142857142857,0.5431400282885431,0.29487589106836415
S04,48,33,0.6875,0.8787878787878788,0.5616161616161617,0.7922542734692494
S05,50,28,0.56,0.39285714285714285,0.5762987012987013,0.39385623586829754
f11,89,42,0.5955056179775281,0.5238095238095238,0.5871327254305977,0.4665643415214975
S12,50,31,0.6,0.6774193548387096,0.6078098471986417,0.593802439942956
f09,90,40,0.6111111111111112,0.55,0.6134999999999999,0.4092252881693033
f15,124,36,0.5403225806451613,0.7777777777777778,0.6155303030303031,0.5580505740288044
S15,53,30,0.5660377358490566,0.6333333333333333,0.6173913043478261,0.5397598722571824
f06,87,43,0.5977011494252874,0.7441860465116279,0.6395348837209301,0.5677337410308464
S09,45,25,0.5555555555555556,0.56,0.644,0.5375222365061442
S16,48,21,0.5208333333333334,0.8095238095238095,0.6472663139329806,0.6629030221908275
S06,47,29,0.5957446808510638,0.5862068965517241,0.6532567049808429,0.5638212079697467
S13,52,31,0.6730769230769231,0.6774193548387096,0.6835637480798772,0.4919459185240647
f16,89,35,0.6741573033707865,0.2,0.6984126984126985,0.1454006411999155
f10,73,39,0.6575342465753424,0.7692307692307693,0.7187028657616893,0.5765016030724326
S01,59,30,0.711864406779661,0.9333333333333333,0.7206896551724138,0.6756283776218988
S18,52,29,0.6538461538461539,0.9310344827586207,0.7571214392803598,0.6809346476713052
S14,54,32,0.6666666666666666,0.53125,0.7585227272727272,0.3630127404747462
S10,51,32,0.5294117647058824,0.3125,0.7796052631578947,0.36523805726684777
S03,50,27,0.68,0.7407407407407407,0.7809983896940419,0.5680372349172831
f05,135,39,0.7111111111111111,0.6410256410256411,0.7881944444444444,0.4253115128311846
S08,43,27,0.7674418604651163,0.8148148148148148,0.8194444444444444,0.5959685003428266
f01,93,59,0.7849462365591398,0.864406779661017,0.827517447657029,0.6076905102899639
