iter	Logloss
0	0.6884891481
1	0.6834230675
2	0.67841039
3	0.6725790218
4	0.668174046
5	0.6644286735
6	0.6596050618
7	0.6571331584
8	0.6540455854
9	0.6509638804
10	0.6474887604
11	0.6440579791
12	0.6393321069
13	0.6366428747
14	0.6339433341
15	0.6305429785
16	0.6270650923
17	0.6248982268
18	0.6220359586
19	0.6200802319
20	0.6172730257
21	0.6152463812
22	0.6132832305
23	0.6111060143
24	0.6090838225
25	0.6078562196
26	0.6049533461
27	0.6035213782
28	0.6022446663
29	0.6007171276
30	0.5987887883
31	0.5966381496
32	0.5945659445
33	0.5928684108
34	0.5910053712
35	0.5896108523
36	0.5876108476
37	0.5843340831
38	0.5830653193
39	0.5815889223
40	0.5802793184
41	0.5790591307
42	0.5777102512
43	0.5761593747
44	0.5747781197
45	0.5731159883
46	0.5719550122
47	0.5703606868
48	0.5688735552
49	0.5679895609
50	0.5658445945
51	0.5643709328
52	0.5621573445
53	0.5598844618
54	0.5587131579
55	0.5576685064
56	0.557166262
57	0.5561221712
58	0.5547689823
59	0.5534496439
60	0.5520955002
61	0.5504558639
62	0.5493341251
63	0.5474818829
64	0.5462525495
65	0.5455803815
66	0.5424895151
67	0.5410830039
68	0.5399161359
69	0.5389319348
70	0.5374031572
71	0.536396926
72	0.5349641265
73	0.5339968058
74	0.5333044799
75	0.5325018494
76	0.5317104083
77	0.5297895244
78	0.5292138822
79	0.5281023009
80	0.5270195723
81	0.5262746948
82	0.5253830426
83	0.5242199035
84	0.5225144281
85	0.5216792019
86	0.5205608647
87	0.5198785161
88	0.5190746212
89	0.5177855681
90	0.5163780721
91	0.5153263744
92	0.5145326089
93	0.5132100079
94	0.5116302688
95	0.5104827376
96	0.5098936919
97	0.5087629459
98	0.5080958909
99	0.5064159253
100	0.5053564223
101	0.5044301065
102	0.5034121761
103	0.5022754338
104	0.5016254241
105	0.5006413881
106	0.499506318
107	0.4984363794
108	0.4970930885
109	0.4963240577
110	0.4956297329
111	0.4942836503
112	0.4931823591
113	0.4923929446
114	0.4919331925
115	0.4901257693
116	0.4893360386
117	0.4879602956
118	0.4865894475
119	0.4858845935
120	0.485296816
121	0.4846399779
122	0.4840154747
123	0.4828403124
124	0.4820346771
125	0.4800489804
126	0.4790933017
127	0.4782835441
128	0.477340548
129	0.4753826686
130	0.4745615202
131	0.4736392548
132	0.4729472526
133	0.4710874103
134	0.4702941131
135	0.4697260745
136	0.4690139096
137	0.4680284163
138	0.4672020164
139	0.4662025336
140	0.4653212186
141	0.4642612402
142	0.4628276274
143	0.4613087187
144	0.4602357417
145	0.4597423517
146	0.4581190856
147	0.4574834165
148	0.4568260304
149	0.4552842277
150	0.4539451508
151	0.453316473
152	0.4527339626
153	0.4511061583
154	0.4500218028
155	0.4493084936
156	0.4485722659
157	0.4473164101
158	0.4460565588
159	0.4444956609
160	0.4434651577
161	0.4420469396
162	0.4403646778
163	0.4395962322
164	0.4390536542
165	0.4380456931
166	0.4367520978
167	0.4358480248
168	0.4352449061
169	0.4335560575
170	0.4323013067
171	0.4317537179
172	0.4305956416
173	0.4292168214
174	0.4279361477
175	0.4266842555
176	0.4259727622
177	0.4250063923
178	0.4241695714
179	0.4229970344
180	0.4221573134
181	0.4214819493
182	0.4204346395
183	0.4193907577
184	0.4183955827
185	0.4174920045
186	0.4163749276
187	0.4154025533
188	0.4142463424
189	0.4134709518
190	0.4123885166
191	0.4116988378
192	0.4107853422
193	0.4097636059
194	0.4088626072
195	0.408030514
196	0.407486788
197	0.4064165145
198	0.4053699567
199	0.4046977368
