iter	Passed	Remaining
0	6	1382
1	13	1293
2	20	1367
3	26	1276
4	31	1210
5	36	1168
6	40	1103
7	43	1048
8	47	1007
9	50	961
10	53	920
11	56	884
12	59	854
13	62	827
14	65	807
15	68	787
16	72	775
17	75	760
18	78	744
19	81	730
20	83	714
21	86	703
22	89	690
23	92	681
24	95	671
25	99	665
26	103	665
27	107	663
28	112	664
29	116	659
30	119	653
31	123	649
32	127	643
33	130	637
34	134	632
35	137	625
36	140	618
37	143	613
38	148	612
39	151	606
40	155	602
41	158	596
42	162	594
43	165	588
44	168	582
45	172	576
46	175	572
47	179	567
48	182	562
49	185	557
50	188	552
51	192	547
52	195	542
53	199	538
54	202	533
55	205	529
56	209	525
57	212	521
58	216	517
59	219	513
60	222	508
61	226	503
62	229	498
63	232	493
64	235	488
65	238	484
66	241	479
67	245	476
68	249	473
69	254	473
70	258	470
71	262	467
72	266	463
73	270	459
74	274	456
75	277	452
76	281	448
77	284	444
78	287	440
79	291	436
80	294	432
81	297	427
82	300	423
83	303	419
84	307	415
85	310	412
86	315	409
87	318	405
88	322	401
89	325	397
90	328	393
91	331	389
92	335	386
93	339	382
94	342	378
95	345	374
96	348	370
97	352	366
98	355	362
99	358	358
100	361	354
101	365	350
102	368	346
103	371	343
104	374	339
105	377	335
106	381	331
107	384	327
108	387	323
109	390	319
110	394	316
111	398	312
112	401	308
113	404	304
114	407	301
115	410	296
116	412	292
117	415	288
118	418	284
119	421	281
120	424	277
121	427	273
122	429	269
123	432	265
124	435	261
125	438	257
126	441	253
127	445	250
128	448	246
129	451	243
130	454	239
131	457	235
132	460	231
133	463	228
134	466	224
135	469	220
136	472	217
137	475	213
138	478	209
139	481	206
140	484	202
141	487	199
142	490	195
143	493	191
144	496	188
145	499	184
146	501	180
147	504	177
148	507	173
149	511	170
150	514	166
151	517	163
152	520	160
153	524	156
154	527	153
155	531	149
156	534	146
157	538	143
158	543	140
159	549	137
160	552	133
161	557	130
162	561	127
163	563	123
164	566	120
165	569	116
166	573	113
167	575	109
168	578	106
169	581	102
170	584	99
171	587	95
172	590	92
173	593	88
174	598	85
175	601	81
176	603	78
177	606	74
178	609	71
179	612	68
180	614	64
181	617	61
182	620	57
183	623	54
184	626	50
185	629	47
186	632	43
187	634	40
188	638	37
189	641	33
190	644	30
191	647	26
192	650	23
193	654	20
194	656	16
195	660	13
196	663	10
197	666	6
198	669	3
199	672	0
